date,sys_demands
2039-07-29,689
2039-07-30,724
2039-07-31,697
2039-08-01,691
2039-08-02,693
2039-08-03,697
2039-08-04,717
2039-08-05,713
2039-08-06,734
2039-08-07,728
2039-08-08,727
2039-08-09,720
2039-08-10,728
2039-08-11,682
2039-08-12,639
2039-08-13,651
2039-08-14,608
2039-08-15,629
2039-08-16,632
2039-08-17,643
2039-08-18,663
2039-08-19,633
2039-08-20,649
2039-08-21,640
2039-08-22,617
2039-08-23,592
2039-08-24,612
2039-08-25,646
2039-08-26,639
2039-08-27,638
2039-08-28,618
2039-08-29,592
2039-08-30,606
2039-08-31,606
2039-09-01,573
2039-09-02,595
2039-09-03,577
2039-09-04,590
2039-09-05,586
2039-09-06,574
2039-09-07,570
2039-09-08,532
2039-09-09,517
2039-09-10,538
2039-09-11,536
2039-09-12,544
2039-09-13,517
2039-09-14,517
2039-09-15,529
2039-09-16,534
2039-09-17,546
2039-09-18,533
2039-09-19,532
2039-09-20,542
2039-09-21,547
2039-09-22,560
2039-09-23,557
2039-09-24,562
2039-09-25,567
2039-09-26,583
2039-09-27,565
2039-09-28,558
2039-09-29,560
2039-09-30,536
2039-10-01,476
2039-10-02,485
2039-10-03,494
2039-10-04,495
2039-10-05,495
2039-10-06,531
2039-10-07,519
2039-10-08,530
2039-10-09,516
2039-10-10,504
2039-10-11,511
2039-10-12,515
2039-10-13,522
2039-10-14,501
2039-10-15,519
2039-10-16,524
2039-10-17,514
2039-10-18,499
2039-10-19,515
2039-10-20,515
2039-10-21,484
2039-10-22,487
2039-10-23,489
2039-10-24,479
2039-10-25,481
2039-10-26,502
2039-10-27,516
2039-10-28,525
2039-10-29,484
2039-10-30,465
2039-10-31,477
2039-11-01,440
2039-11-02,425
2039-11-03,439
2039-11-04,437
2039-11-05,422
2039-11-06,436
2039-11-07,434
2039-11-08,440
2039-11-09,442
2039-11-10,471
2039-11-11,456
2039-11-12,452
2039-11-13,453
2039-11-14,450
2039-11-15,450
2039-11-16,436
2039-11-17,438
2039-11-18,430
2039-11-19,445
2039-11-20,436
2039-11-21,449
2039-11-22,454
2039-11-23,447
2039-11-24,463
2039-11-25,453
2039-11-26,472
2039-11-27,457
2039-11-28,444
2039-11-29,434
2039-11-30,455
2039-12-01,458
2039-12-02,456
2039-12-03,479
2039-12-04,460
2039-12-05,490
2039-12-06,498
2039-12-07,483
2039-12-08,486
2039-12-09,496
2039-12-10,491
2039-12-11,504
2039-12-12,488
2039-12-13,486
2039-12-14,496
2039-12-15,484
2039-12-16,506
2039-12-17,503
2039-12-18,510
2039-12-19,510
2039-12-20,500
2039-12-21,501
2039-12-22,505
2039-12-23,500
2039-12-24,476
2039-12-25,507
2039-12-26,493
2039-12-27,492
2039-12-28,492
2039-12-29,492
2039-12-30,473
2039-12-31,480
2040-01-01,476
2040-01-02,486
2040-01-03,489
2040-01-04,476
2040-01-05,476
2040-01-06,473
2040-01-07,477
2040-01-08,477
2040-01-09,473
2040-01-10,475
2040-01-11,471
2040-01-12,474
2040-01-13,466
2040-01-14,485
2040-01-15,485
2040-01-16,472
2040-01-17,459
2040-01-18,461
2040-01-19,443
2040-01-20,443
2040-01-21,457
2040-01-22,449
2040-01-23,446
2040-01-24,456
2040-01-25,459
2040-01-26,441
2040-01-27,454
2040-01-28,452
2040-01-29,455
2040-01-30,454
2040-01-31,429
2040-02-01,438
2040-02-02,431
2040-02-03,443
2040-02-04,419
2040-02-05,432
2040-02-06,435
2040-02-07,438
2040-02-08,427
2040-02-09,411
2040-02-10,418
2040-02-11,424
2040-02-12,422
2040-02-13,421
2040-02-14,400
2040-02-15,418
2040-02-16,412
2040-02-17,427
2040-02-18,456
2040-02-19,458
2040-02-20,445
2040-02-21,453
2040-02-22,462
2040-02-23,451
2040-02-24,454
2040-02-25,466
2040-02-26,464
2040-02-27,461
2040-02-28,466
2040-02-29,445
2040-03-01,430
2040-03-02,429
2040-03-03,437
2040-03-04,449
2040-03-05,458
2040-03-06,448
2040-03-07,441
2040-03-08,437
2040-03-09,419
2040-03-10,432
2040-03-11,427
2040-03-12,444
2040-03-13,445
2040-03-14,411
2040-03-15,383
2040-03-16,391
2040-03-17,409
2040-03-18,409
2040-03-19,408
2040-03-20,392
2040-03-21,387
2040-03-22,385
2040-03-23,402
2040-03-24,407
2040-03-25,409
2040-03-26,412
2040-03-27,406
2040-03-28,421
2040-03-29,431
2040-03-30,410
2040-03-31,435
2040-04-01,447
2040-04-02,457
2040-04-03,458
2040-04-04,449
2040-04-05,452
2040-04-06,417
2040-04-07,423
2040-04-08,453
2040-04-09,479
2040-04-10,467
2040-04-11,469
2040-04-12,465
2040-04-13,443
2040-04-14,478
2040-04-15,456
2040-04-16,460
2040-04-17,426
2040-04-18,432
2040-04-19,454
2040-04-20,442
2040-04-21,409
2040-04-22,406
2040-04-23,413
2040-04-24,424
2040-04-25,426
2040-04-26,423
2040-04-27,421
2040-04-28,424
2040-04-29,428
2040-04-30,479
2040-05-01,492
2040-05-02,499
2040-05-03,495
2040-05-04,486
2040-05-05,512
2040-05-06,474
2040-05-07,478
2040-05-08,493
2040-05-09,496
2040-05-10,475
2040-05-11,462
2040-05-12,457
2040-05-13,456
2040-05-14,495
2040-05-15,500
2040-05-16,527
2040-05-17,544
2040-05-18,521
2040-05-19,540
2040-05-20,525
2040-05-21,514
2040-05-22,514
2040-05-23,525
2040-05-24,543
2040-05-25,540
2040-05-26,539
2040-05-27,550
2040-05-28,552
2040-05-29,546
2040-05-30,545
2040-05-31,542
2040-06-01,523
2040-06-02,571
2040-06-03,597
2040-06-04,630
2040-06-05,618
2040-06-06,656
2040-06-07,633
2040-06-08,592
2040-06-09,588
2040-06-10,622
2040-06-11,665
2040-06-12,673
2040-06-13,653
2040-06-14,649
2040-06-15,611
2040-06-16,616
2040-06-17,637
2040-06-18,670
2040-06-19,706
2040-06-20,699
2040-06-21,685
2040-06-22,637
2040-06-23,600
2040-06-24,598
2040-06-25,619
2040-06-26,637
2040-06-27,635
2040-06-28,637
2040-06-29,664
2040-06-30,740
2040-07-01,721
2040-07-02,685
2040-07-03,644
2040-07-04,633
2040-07-05,647
2040-07-06,622
2040-07-07,657
2040-07-08,663
2040-07-09,632
2040-07-10,610
2040-07-11,595
2040-07-12,612
2040-07-13,653
2040-07-14,659
2040-07-15,640
2040-07-16,631
2040-07-17,619
2040-07-18,635
2040-07-19,679
2040-07-20,685
2040-07-21,673
2040-07-22,662
2040-07-23,654
2040-07-24,615
2040-07-25,619
2040-07-26,675
2040-07-27,684
2040-07-28,700
2040-07-29,688
2040-07-30,682
2040-07-31,630
2040-08-01,614
2040-08-02,667
2040-08-03,677
2040-08-04,661
2040-08-05,656
2040-08-06,696
2040-08-07,698
2040-08-08,637
2040-08-09,629
2040-08-10,614
2040-08-11,553
2040-08-12,542
2040-08-13,583
2040-08-14,579
2040-08-15,575
2040-08-16,609
2040-08-17,622
2040-08-18,593
2040-08-19,552
2040-08-20,534
2040-08-21,499
2040-08-22,471
2040-08-23,513
2040-08-24,564
2040-08-25,584
2040-08-26,545
2040-08-27,541
2040-08-28,555
2040-08-29,563
2040-08-30,586
2040-08-31,576
2040-09-01,600
2040-09-02,594
2040-09-03,583
2040-09-04,575
2040-09-05,609
2040-09-06,604
2040-09-07,590
2040-09-08,591
2040-09-09,599
2040-09-10,597
2040-09-11,601
2040-09-12,620
2040-09-13,614
2040-09-14,622
2040-09-15,634
2040-09-16,621
2040-09-17,620
2040-09-18,584
2040-09-19,601
2040-09-20,607
2040-09-21,601
2040-09-22,562
2040-09-23,544
2040-09-24,541
2040-09-25,530
2040-09-26,532
2040-09-27,544
2040-09-28,541
2040-09-29,546
